time,open,high,low,close,volume,ticker
2024-01-02,1138.01,1139.71,1128.69,1131.72,842255467,VNINDEX
2024-01-03,1131.97,1144.17,1128.32,1144.17,719932658,VNINDEX
2024-01-04,1145.49,1160.08,1144.32,1150.72,1181354559,VNINDEX
2024-01-05,1152.37,1155.84,1149.08,1154.68,803268328,VNINDEX
2024-01-08,1159.42,1162.56,1155.48,1160.19,905408420,VNINDEX
2024-01-09,1161.71,1162.83,1155.46,1158.59,870509266,VNINDEX
2024-01-10,1158.79,1166.1,1155.94,1161.54,992761212,VNINDEX
2024-01-11,1162.49,1169.1,1157.43,1162.22,860493292,VNINDEX
2024-01-12,1159.25,1161.91,1146.75,1154.7,1086669255,VNINDEX
2024-01-15,1159.37,1163.75,1154.12,1154.12,617145386,VNINDEX
2024-01-16,1150.31,1163.12,1147.71,1163.12,611399775,VNINDEX
2024-01-17,1161.95,1168.46,1160.45,1162.53,769803132,VNINDEX
2024-01-18,1164.32,1169.73,1162.62,1169.06,596224450,VNINDEX
2024-01-19,1171.5,1181.5,1171.47,1181.5,662887992,VNINDEX
2024-01-22,1186.29,1186.96,1175.54,1182.86,889669900,VNINDEX
2024-01-23,1183.96,1184.74,1173.78,1177.5,683712214,VNINDEX
2024-01-24,1175.58,1180.3,1172.0,1172.97,733190188,VNINDEX
2024-01-25,1173.58,1173.83,1168.5,1170.37,540538159,VNINDEX
2024-01-26,1173.43,1176.76,1173.43,1175.67,575224219,VNINDEX
2024-01-29,1177.23,1180.46,1174.88,1175.69,666529537,VNINDEX
2024-01-30,1176.02,1179.92,1174.13,1179.65,620146298,VNINDEX
2024-01-31,1181.62,1182.53,1163.13,1164.31,1120899587,VNINDEX
2024-02-01,1162.78,1174.5,1162.45,1173.02,670246274,VNINDEX
2024-02-02,1173.93,1178.27,1169.7,1172.55,914673342,VNINDEX
2024-02-05,1174.22,1188.45,1173.54,1186.06,874803630,VNINDEX
2024-02-06,1189.08,1190.92,1185.68,1188.48,619772100,VNINDEX
2024-02-07,1190.51,1199.52,1190.5,1198.53,685659517,VNINDEX
2024-02-15,1203.08,1207.56,1198.81,1202.5,868724308,VNINDEX
2024-02-16,1204.9,1210.25,1204.29,1209.7,822636730,VNINDEX
2024-02-19,1213.24,1225.48,1212.58,1224.97,1046431380,VNINDEX
2024-02-20,1227.75,1230.47,1222.66,1230.06,939927595,VNINDEX
2024-02-21,1231.78,1234.22,1222.92,1230.04,988846280,VNINDEX
2024-02-22,1229.85,1232.09,1226.15,1227.31,840410190,VNINDEX
2024-02-23,1230.3,1240.81,1211.55,1212.0,1394045720,VNINDEX
2024-02-26,1212.93,1225.21,1210.52,1224.17,889748773,VNINDEX
2024-02-27,1228.93,1237.6,1226.49,1237.46,986854411,VNINDEX
2024-02-28,1241.77,1254.55,1236.32,1254.55,970755990,VNINDEX
2024-02-29,1259.59,1264.39,1247.7,1252.73,1091193600,VNINDEX
2024-03-01,1256.72,1258.76,1247.87,1258.28,961928011,VNINDEX
2024-03-04,1264.07,1268.25,1256.54,1261.41,1183086384,VNINDEX
2024-03-05,1262.89,1269.98,1257.81,1269.98,1011196107,VNINDEX
2024-03-06,1269.8,1277.51,1256.3,1262.73,1062933517,VNINDEX
2024-03-07,1263.23,1269.88,1260.24,1268.46,1017267325,VNINDEX
2024-03-08,1272.62,1274.3,1247.35,1247.35,1346110974,VNINDEX
2024-03-11,1248.32,1254.01,1233.49,1235.49,975985066,VNINDEX
2024-03-12,1235.4,1248.33,1233.14,1245.0,836219861,VNINDEX
2024-03-13,1250.2,1270.51,1247.64,1270.51,982228387,VNINDEX
2024-03-14,1276.0,1276.41,1258.67,1264.26,1057178320,VNINDEX
2024-03-15,1263.76,1271.63,1252.36,1263.78,1067614441,VNINDEX
2024-03-18,1266.11,1269.9,1221.67,1243.56,1708781142,VNINDEX
2024-03-19,1246.54,1249.75,1238.92,1242.46,914651785,VNINDEX
2024-03-20,1243.79,1261.55,1235.46,1260.08,915569336,VNINDEX
2024-03-21,1269.96,1276.42,1264.2,1276.42,1251812900,VNINDEX
2024-03-22,1281.56,1291.27,1276.38,1281.8,1377676890,VNINDEX
2024-03-25,1278.86,1286.84,1264.51,1267.86,1242486633,VNINDEX
2024-03-26,1267.95,1282.5,1264.42,1282.21,941695455,VNINDEX
2024-03-27,1286.34,1286.72,1276.95,1283.09,919282582,VNINDEX
2024-03-28,1293.03,1293.9,1285.52,1290.18,1012175340,VNINDEX
2024-03-29,1292.7,1292.75,1282.44,1284.09,922547400,VNINDEX
2024-04-01,1282.37,1286.8,1274.09,1281.52,971211980,VNINDEX
2024-04-02,1276.38,1287.04,1268.48,1287.04,1087683661,VNINDEX
2024-04-03,1285.3,1288.99,1271.47,1271.47,1077322954,VNINDEX
2024-04-04,1271.87,1277.62,1265.12,1268.25,980907137,VNINDEX
2024-04-05,1258.58,1265.14,1253.56,1255.11,1075439698,VNINDEX
2024-04-08,1255.37,1258.4,1246.87,1250.35,876038830,VNINDEX
2024-04-09,1252.4,1262.82,1247.7,1262.82,717434222,VNINDEX
2024-04-10,1266.48,1268.72,1258.56,1258.56,702274717,VNINDEX
2024-04-11,1249.88,1262.03,1248.11,1258.2,686819590,VNINDEX
2024-04-12,1262.96,1278.39,1259.5,1276.6,944444595,VNINDEX
2024-04-15,1274.02,1281.81,1216.61,1216.61,1455862779,VNINDEX
2024-04-16,1218.64,1222.45,1191.73,1215.68,1355239132,VNINDEX
2024-04-17,1221.47,1221.47,1193.01,1193.01,859252249,VNINDEX
2024-04-19,1180.87,1190.96,1165.99,1174.85,1070536473,VNINDEX
2024-04-22,1183.77,1193.88,1181.13,1190.22,708578793,VNINDEX
2024-04-23,1190.56,1192.8,1169.61,1177.4,778311310,VNINDEX
2024-04-24,1186.47,1207.61,1185.13,1205.61,820079823,VNINDEX
2024-04-25,1206.25,1208.41,1200.21,1204.97,569651810,VNINDEX
2024-04-26,1199.83,1216.6,1198.73,1209.52,620884392,VNINDEX
2024-05-02,1212.13,1216.36,1206.28,1216.36,570363680,VNINDEX
2024-05-03,1222.54,1225.75,1218.33,1221.03,643428817,VNINDEX
2024-05-06,1226.89,1241.58,1224.22,1241.58,864633630,VNINDEX
2024-05-07,1245.5,1250.63,1240.09,1248.63,707897194,VNINDEX
2024-05-08,1243.61,1251.62,1234.76,1250.46,981802972,VNINDEX
2024-05-09,1252.81,1256.8,1243.29,1248.64,771552716,VNINDEX
2024-05-10,1251.78,1252.5,1237.46,1244.7,669111203,VNINDEX
2024-05-13,1248.19,1249.2,1233.56,1240.18,741579440,VNINDEX
2024-05-14,1246.23,1252.52,1240.88,1243.28,640493532,VNINDEX
2024-05-15,1248.61,1257.92,1248.02,1254.39,880174065,VNINDEX
2024-05-16,1264.51,1271.66,1261.19,1268.78,885055936,VNINDEX
2024-05-17,1270.34,1274.27,1266.32,1273.11,937042992,VNINDEX
2024-05-20,1281.5,1285.19,1277.36,1277.58,1161563296,VNINDEX
2024-05-21,1277.85,1281.29,1267.29,1277.14,972159800,VNINDEX
2024-05-22,1280.26,1283.06,1263.87,1266.91,1139091754,VNINDEX
2024-05-23,1265.6,1281.03,1262.29,1281.03,968130000,VNINDEX
2024-05-24,1276.68,1285.07,1250.28,1261.93,1367781161,VNINDEX
2024-05-27,1263.46,1267.68,1257.27,1267.68,726703810,VNINDEX
2024-05-28,1272.23,1281.73,1269.37,1281.73,868584327,VNINDEX
2024-05-29,1284.74,1285.63,1271.6,1272.64,1072465256,VNINDEX
2024-05-30,1264.45,1269.07,1251.8,1266.32,1050581949,VNINDEX
2024-05-31,1268.37,1271.07,1261.43,1261.72,771151605,VNINDEX
2024-06-03,1271.65,1284.48,1271.65,1280.0,1046924676,VNINDEX
2024-06-04,1285.51,1289.31,1281.98,1283.52,935848681,VNINDEX
2024-06-05,1287.12,1293.93,1284.35,1284.35,925054928,VNINDEX
2024-06-06,1288.79,1292.02,1278.4,1283.56,893066672,VNINDEX
2024-06-07,1289.05,1293.03,1283.13,1287.58,698283332,VNINDEX
2024-06-10,1292.67,1297.39,1287.44,1290.67,858651954,VNINDEX
2024-06-11,1295.03,1296.41,1279.47,1284.41,993342917,VNINDEX
2024-06-12,1285.01,1301.35,1281.71,1300.19,895254667,VNINDEX
2024-06-13,1305.69,1306.01,1297.6,1301.51,891331399,VNINDEX
2024-06-14,1303.37,1305.02,1279.91,1279.91,1110637093,VNINDEX
